id,title,style,soundcloud,youtube,track_count,track_id
1fs7db21,UMF Japan - (Official 4K Aftermovie) 2017-03-17,"Electro House, Progressive House",[],['fYB1Ovpd0nc'],5,"['10x90u9f', '2vl2zczx', 'j47669p', '272vn8jp', 'z1qcflp']"
2sly4wpk,Slips & Slurs - Best Of Monstercat 2016 Mix 2016-12-24,"Drum & Bass, Dubstep, Trap",['299328054'],[],26,"['2m6mb58p', '1b71nutf', '1xswtyb5', 'fc98pq5', 'rl2t3up', '1dzjmxup', '1f07rnrf', '1ngw8ghp', 'kz6nlc5', 'y3m4rf5', '2m66r4t5', '2497ksf5', 'bk0ud55', '1httl545', '10x1x91f', '1jrjct7x', 'bkmvdg5', 'zz3n4vp', '2qwdn7lx', '272d6sjx', '11u4lc5x', '1yq4jgh5', 'k1smfu5', '2ruydg7x', '11uusdvp', 'sj9d2v5']"
7wznfm1,Fady & Mina - Connected 017 2015-10-14,Trance,['228304653'],[],12,"['1r6gdbkx', '1xqx62vf', '2l605z85', '2l6mt6kf', '10v3utp5', '1mgh0kvp', '1fwgt3hf', 'nru7tmx', '2rrkly1f', '1fvsd165', '1duqmb0f', '1lk52mlf']"
3bhcvgt,Craig Connelly - Decibels Radio 012 2015-03-26,"Trance, Electro House, Progressive House",['197945376'],[],13,"['h4324kf', 'g3bq1hf', '188ucujx', '15h7j2nx', '2quwjd6f', 'jzk2ugx', 'kxgkhyx', '10ucrc4f', '1fuxz245', '16dwckjf', 'mqzx8jf', 'h446y8x', '1jnzn4hp']"
2358q22k,Nicky Romero - Amsterdam Dance Event ADE Protocol Compilation MiniMix 2016-09-21,"Electro House, Progressive House",[],['HDwdpHqBTxM'],11,"['20kn4xmx', '2dpkj445', '249bfwnx', '16hnvgmf', '9msz9jp', '1fy2x7cp', 'w7ug42p', '13q7vkh5', '1r82zxkx', 'h6m0315', 'g8tbkjf']"
1v5yxw1,Nouveaubeats - Club Nouveau 089 2015-09-11,"House, Electro House, Progressive House",['223374230'],[],18,"['2pxksqpf', '2m461k7x', '1zljcq3x', '1s3x9scp', 'v8c7l4x', '1dylmhgp', '1pbv9txp', '1fw246gf', '1uxh8gkp', '2ghdjlmf', '2fk95ukp', '1pbrq8p5', 'k0fp0cx', '11swygxf', '2bs3rczf', '239t5bff', '12qpvu0x', '1gu6rhd5']"
34fgf7t,Jay Hardway - Inspire Podcast 017 2015-02-11,"House, Electro House, Progressive House",['190564625'],[],16,"['13mfwkkf', '1cznv8qx', 'ltx2vh5', '1dwwpjzp', '1963f3uf', 'g5wmg7x', '2sq103bp', 'h305sx5', '1s38h87p', '1mg0l9vx', 'g4p0u0p', 'g5z8upf', '2hd7v8rx', '1hqwytzf', '20h6bxxx', '1xpw0vvx']"
g31rkj9,Max Vangeli - NoFace Radio 042 2017-05-01,"Electro House, Progressive House",['320309050'],['xep4PC5GwWE'],14,"['h76hu0p', 'dfz0wyf', '1lmxdfcf', 'z25yfcf', 'ps1vcrp', 'g949trx', 'vbvyghx', '2hhppsmp', 'uf1vbdx', '257zfvmx', '2buqtmgp', '2kc438q5', '1nhkcxr5', 'x6hkmcf']"
1bu8gdk,"Armin van Buuren @ W&W & Friends, Beat Club Amsterdam, Netherlands (ADE) 2013-10-16","Trance, Progressive House",['115644724'],[],11,"['1r2ljgtx', '2gbl6utf', '29r2jl1f', '17873dsp', 'qhp4ktp', '1mcuh2pf', 'xyhsgr5', '2k5gvzkf', '1mcjyfnp', '1ykd338x', '1mcj7zvx']"
85bxbyk,Quintino @ Radio 538 De Avondploeg 2015-02-05,"Electro House, Progressive House",[],['A4XGyD1RFcU'],6,"['1s3tdv9f', 'g5wmg7x', '2381f9kp', '1uwflfhf', 'g696kp5', '2g0dbup']"
10qc4n7k,ak9 - Blackout Radioshow 052 2016-06-23,"Electro House, Progressive House",['270517122'],[],17,"['13prjvwf', '27zzygvf', '28xvcpn5', 'y2xrnkx', '2ssgzdy5', '14mllhl5', '2n3hwqtp', '10wc2v0p', '2btdzp05', '1ng4gtg5', '1wsz7bqp', 'x555ktp', '9gq46nf', '2m5psjjx', '1xs85sbx', '248syg9x', 'bk2bp2p']"
7y4jyy1,Sean Tyas - Tytanium Sessions 194 2013-04-22,Trance,['88395277'],[],11,"['177k9yf5', '11nrh49p', '1sxqsxjp', '2tjvr1j5', 'lrmv3h5', '2bmy21yp', 'yvbgrkf', '1fs3v125', '1khdn7q5', '1cw7zk75', '10qvclpx']"
1wns1xmt,"Illenium @ Bass Crypt, Something Wicked Festival, United States 2016-10-29","Dubstep, Electro House, Trap",[],['riIx9LiD9Qo'],26,"['1mhv71k5', '2fjf29dp', '2qvh74cf', 'pqx43bx', 'pr18kmx', '25339smx', 'x63kp75', '2650btvp', '1llgrxlx', 'w5cdlsp', '2ukfng9x', '1zmv4umx', 'qmwbhhp', '10wmut0x', 'ddu5bvf', 'bc80tt5', '192f89hx', '1gu5ylj5', '2gk700c5', 'cdws15f', '1mhm9s25', '1qb3twlf', 'h6p8p9p', 'rm5t8kx', 'y3d3bjp', '23bs83fp']"
v3mtpt9,"Craig Connelly - Decibels Radio Episode 45 (Live From Triangle, Osaka, Japan) 2016-07-15",Trance,['274097274'],[],20,"['bk332bp', '12rkw5mx', '198lcv9f', 'lkpxm5', 'w1v8dp', '1mjb2bjp', 'cgw40pp', '1wud466f', '2umyj3z5', 'tg11fpx', 'pqbg6jx', '2whlrq4x', '16gz52w5', 'nsvc6zp', '27zmzvq5', 'g859tmf', '12rlbrg5', '1mhyc8l5', '14l71p85', '2tn27n0p']"
87n9v9k,Cedric Gervais & John Dahlbäck - #Miamication Radio Show 015 2014-03-19,"Electro House, Progressive House",['140368725'],['I8oTlxN_2tI'],15,"['1p87nzr5', '1yjj2ump', 'g39u2yf', '330q295', '1cy0p0h5', '1zhfgf1x', 'h10c6mf', '2rqquyg5', 'x0gcwwx', '1q5nqhkx', '1r37cpdp', '1s0utt2p', '2tl9tf65', '1jlt9kxx', '2sncmpf5']"
6v5v0s9,R3hab - I Need R3hab 094 2014-07-14,"House, Electro House, Progressive House",[],['XDpZnc1GGyU'],15,"['u8k805x', '1hpzb4kx', 'bft2ulf', '14j9812f', 'lu0wpx5', 'pmjh4np', '2m2hh0lf', '26160b65', '2pvv8d9x', '1sztt0v5', '29sh59sp', '2gff08fp', '2l4q7k7x', '2j8zxj3p', '1kkk5fbp']"
3k085wt,R3hab - I Need R3hab 165 2015-11-20,"Electro House, Progressive House",['234042777'],[],16,"['1uxqygmx', '1pc353xf', 'k0pltgx', '2cpzf55f', '1lkp9zq5', 'cfvlgm5', '189v0wx5', '2py7n4j5', '1t2c4u4f', '1mfqf1pf', '2jcbwfrp', 'x46r825', 'x3x82wp', '2rrc59yx', '2l6zrwnf', '1wrhjm7p']"
5x84h9t,Deniz Koyu - Bongbastic 051 2014-05-15,"Electro House, Progressive House",['149977844'],[],14,"['1vt3hymf', '1bznpc2x', '251ruh4f', '2k6gsgu5', 'w3nc7hp', '1lh131f5', 'sdcrvdf', '2j8fsr4x', '1p87nzr5', 'x1q4v8x', '245c9ty5', '229nf53f', '2nxkvkb5', 'ltu9j35']"
7lpxctt,Armin van Buuren - A State Of Trance 650 New Horizons Minimix 2014-01-30,Trance,['132144129'],[],4,"['46zy62f', '2v9h4vx', '8bkugz5', '1ykd338x']"
8g2hm79,Hardwell - Hardwell On Air 191 2014-10-31,"Electro House, Progressive House",['174794786'],['JV8KvGryFCk'],15,"['1zjsh1tf', 'd9znfpx', '1cz94dmx', '1wrk8hbf', '22bl1krp', 'j15j71p', '1dx1b2wp', '1p9bxnx5', '2tmkzqbf', 'g5g3glx', '2k7dhkdf', '29szg7q5', '13m2fhgf', 'sfcgg5x', '1p8v2lc5']"
177tk0d1,Max Vangeli - 1001Tracklists Exclusive Mix 2017-06-05,"Electro House, Progressive House",['326187224'],[],13,"['k2yvjqx', 'nsvkzt5', 'j5fld1x', '15k1t775', '28yyfnyf', 'vbvyghx', '1s6tf6r5', 'dg2pp8x', 'x6nc6dp', '1nhqyz6x', 'j5fpdrp', 'dg5t4vx', '18d2bz8x']"
2t7d749,Max Vangeli - Code Radio 125 2015-12-17,"House, Electro House, Progressive House",['238119769'],[],12,"['1r6x56dp', 'dczy6b5', 'w6h7xmp', '17d60zh5', '2rslvghx', '1klm48n5', '2n1z5h9f', '1s3dnzk5', '1b4rfwrx', '2pydkqhx', '1dyzmf0x', 'x49rqzf']"
1n8gpwu1,Nora En Pure - Purified 039 2016-10-03,"Deep House, Indie Dance / Nu Disco",['285815022'],[],14,"['1wuwrc8p', '1xrx517f', 'bkmh9r5', 'sjh5x4f', '1ngsunu5', '1zn78rqp', 'cfcsp1p', 'sjcd8kx', 'tfqf8xf', '2gk3mqjx', '249d79l5', 'h6l8h5p', 'qp38y6p', '2gkdcnk5']"
1rfku29,Tritonal - Tritonia 066 2014-09-20,"Electro House, Progressive House",['168861445'],[],18,"['1lhn71dp', '1jn1vnzx', 'd9usckf', '195jhlvx', '2cn5kn4p', '2spktg2x', '2bnq5rb5', '1gsgdk1f', '2wcvz11x', 'qk9bk85', '1uvw5yux', '2hc9j6jx', '15gdr2uf', 'jyg2455', '2l4n5b3f', '1jn098q5', '2385kj0p', '13lvz00x']"
907l0qt,"Steve Angello @ LiFE Nightclub Las Vegas, United States 2014-11-23","Tech House, Progressive House",[],['-QRwYn3ySfM'],11,"['1lhyhvvf', '15gu3ukp', '16d1k0vf', '1nc88l6x', 'tl50z5', '2qtwrqzx', '29ryfn5f', '1kkf41px', '1xl3m8g5', '2gdqd7hf', '1781ctsp']"
22zppz9,Erik Arbores - Arbores Radio #011 2014-04-11,"Electro House, Progressive House",['144005464'],[],15,"['13l1xytp', '26yf1yd5', 'bf5u83f', '2l3y3c95', 'j03zpsf', '28tw4cdx', 'ltdmclx', 'c9sq0bf', '1grj1rmp', 'plygdlx', '20f0hzd5', '1lgmym9x', '1b2k3tu5', '25zmp0pf', '9h5bn25']"
2wb4brbk,EDX - No Xcuses 304 2016-12-17,"House, Deep House",[],['zm-8L5r6ZvQ'],13,"['12svq8yp', '280vxkfx', '1ngv9s25', 'qp3hsyp', '2cs2wvjp', 'x5x8hr5', 'ly4smzx', '2st7tzqf', '1r8g26h5', '14nc5twx', '11uvqvh5', '1d2p3pyp', '2l8p8p7f']"
2luhug9,Dodge & Fuski - Disciple Mix Vol. 30 2015-06-10,"Dubstep, Progressive House, Trap",['209740510'],[],9,"['1ux5tcbp', '1jns76gp', '12qdf7f5', 'y1hwu2p', '2sq0z42p', '11sg3nlp', '189bbq5x', '25506xpf', '1nddu9vf']"
