track_id,artist_id,label_ids,original_track_id,remix_artist_id,title,url,is_remix
3hkpduf,blbq3d,,3hkpduf,,Original Don,/track/3hkpduf/major-lazer-original-don/index.html,False
2tnudckx,5jjw35n,,2tnudckx,,Heroe,/track/2tnudckx/adana-twins-heroe/index.html,False
27txr19p,6xwwjn,['gbr6dh'],27txr19p,,A Night In (EDC Orlando 2012 Anthem),/track/27txr19p/r3hab-a-night-in-edc-orlando-2012-anthem/index.html,False
2hfm0jy5,1j2p6ud,['3u68xh'],2hfm0jy5,,Dream Chaser,/track/2hfm0jy5/aimoon-dream-chaser/index.html,False
1s1xr5xf,6g0lqnn,"['9l59pz', 'nxl7p7']",2k6ltvg5,u5y9mw,Holler (Promise Land Remix),/track/1s1xr5xf/rebecca-fiona-holler-promise-land-remix/index.html,True
1c4lsz9f,92p4r4,['5m3sp0r'],1c4lsz9f,,Work It,/track/1c4lsz9f/quintino-work-it/index.html,False
d9d22qx,605c1q4,['p85nzr'],d9d22qx,,Doppelganger,/track/d9d22qx/haywyre-doppelganger/index.html,False
2rr0mp8x,3pjjqfd,['q315vz'],2rr0mp8x,,Beginning Of The World,/track/2rr0mp8x/lazy-rich-special-features-beginning-of-the-world/index.html,False
21g5u7cx,8n8vwrn,['7qf28z'],2n1kx095,71ppwwd,Shades Of Grey (Ephwurd Remix),/track/21g5u7cx/oliver-heldens-shaun-frank-shades-of-grey-ephwurd-remix/index.html,True
2hgmh1cp,8r9lqxd,['w0fx7h'],2hgmh1cp,,Danger,/track/2hgmh1cp/malaa-danger/index.html,False
tc7qm8f,7hvn3s4,['wy43hh'],tc7qm8f,,Veni Vidi Vici,/track/tc7qm8f/vini-vici-veni-vidi-vici/index.html,False
29v2qftx,1rfmcw4,['bl61pr'],29v2qftx,,Compound,/track/29v2qftx/devin-wild-compound/index.html,False
2cq7tj2p,4mqyx2w,['rvx07z'],2cq7tj2p,,House Music Hustle,/track/2cq7tj2p/higher-self-house-music-hustle/index.html,False
1vths5df,8qx2vzw,"['ul068h', 'jrynbh']",1vths5df,,Up So High,/track/1vths5df/destineak-barnes-heatcliff-up-so-high/index.html,False
1zmm0y6x,30v0z7d,['y3nkkh'],1zmm0y6x,,Swallow My Pride,/track/1zmm0y6x/boehm-swallow-my-pride/index.html,False
1zmhp03p,rlvljn,['t22uw7'],2m48m5kp,5cddkln,Run Wild (ATMO Remix),/track/1zmhp03p/hardwell-run-wild-atmo-remix/index.html,True
1u2lyqdx,2bgrc1d,['x843qz'],1u2lyqdx,,(L),/track/1u2lyqdx/ruben-de-ronde-rodg-hal-stucker-l/index.html,False
2vm2vkj5,3x0z434,['w0fx7h'],2vm2vkj5,,WOW,/track/2vm2vkj5/atica-selecta-wow/index.html,False
nrh286x,s2xgvd,['jfhsj7'],nrh286x,,Get Down Like That,/track/nrh286x/apster-get-down-like-that/index.html,False
24bb4bl5,x9n8r4,"['cv1rd7', 'fs8sur']",24bb4bl5,,Chuck Rock,/track/24bb4bl5/liam-melly-chuck-rock/index.html,False
2sqxwx2p,72w6uzn,['btw0sr'],2sqxwx2p,,Who Wants To Rock,/track/2sqxwx2p/flux-pavilion-who-wants-to-rock/index.html,False
4hrxhbx,fhyu2n,['v6yfjz'],7d49y3p,grr01d,Rapture (Avicii New Generation Extended Mix),/track/4hrxhbx/nadia-ali-rapture-avicii-new-generation-extended-mix/index.html,True
1t2xx805,8xm2usd,['b58m6r'],1t2xx805,,Guillotine,/track/1t2xx805/sbcr-twntymls-guillotine/index.html,False
1t182f4p,1zs96wd,['t22uw7'],1t182f4p,,The Harder They Fall,/track/1t182f4p/joey-dale-the-harder-they-fall/index.html,False
d6xzz8f,r4t4gn,['fsu4hz'],hxuu705,7v0jtpd,Hello (Dannic Instrumental Mix),/track/d6xzz8f/stafford-brothers-hello-dannic-instrumental-mix/index.html,True
1xq7n7p5,jmrj34,['r67cyr'],2hd60xkx,wf0lyw,I've Got The Power (Signum Signal Remix),/track/1xq7n7p5/alex-di-stefano-ive-got-the-power-signum-remix/index.html,True
zyxhkv5,3p0088d,['n001bz'],zyxhkv5,,Destino,/track/zyxhkv5/kintar-destino/index.html,False
1lkmbt7f,2hf52hn,['wd00zh'],1lkmbt7f,,Blaze (Sweet Lies),/track/1lkmbt7f/maurice-west-blaze-sweet-lies/index.html,False
1s5gsls5,55y5tzd,,1s5gsls5,,Holding Back,/track/1s5gsls5/sg-lewis-holding-back/index.html,False
1u1jgz25,s64plw,"['9l59pz', '69d3xr']",7xcdjx,6p3fpw,Strobe (Feed Me Remix),/track/1u1jgz25/deadmau5-strobe-feed-me-remix/index.html,True
2rtdkq0p,1qp7cxd,,2rtdkq0p,,Love For The Game,/track/2rtdkq0p/coone-love-for-the-game/index.html,False
x4ckcqp,2gj698d,['lvqw3r'],x4ckcqp,,Mantra,/track/x4ckcqp/timmy-trumpet-mantra/index.html,False
7041mq5,c24gpn,,7041mq5,,Vega,/track/7041mq5/pryda-vega/index.html,False
1pdppfm5,5r9v6vn,['5ujl4z'],1pdppfm5,,Hot Hands,/track/1pdppfm5/darius-hot-hands/index.html,False
tbqnhpp,39utk1w,['p85nzr'],2wbrxf1f,2v143yd,Pinball (Twine Remix),/track/tbqnhpp/astronaut-eyes-pinball-twine-remix/index.html,True
10urw1mp,7j3rwd,['rmmd7z'],10urw1mp,,Smile,/track/10urw1mp/marcus-schossow-smile/index.html,False
1lkrgyr5,bngf34,,1lkrgyr5,,Luv U Giv,/track/1lkrgyr5/tommy-trash-luv-u-giv/index.html,False
1ux9gffp,4n7bf1d,['9l59pz'],1ux9gffp,,Last Goodbye,/track/1ux9gffp/tom-swoon-swanky-tunes-last-goodbye/index.html,False
20cduuzp,c24gpn,['bsbnq7'],20cduuzp,,Clapham,/track/20cduuzp/pryda-clapham/index.html,False
2m3y82uf,7zgudjd,['rmmd7z'],2m3y82uf,,Zulu,/track/2m3y82uf/marcus-schossow-years-zulu/index.html,False
15lqmm0p,6qd375d,['wttwn7'],15lqmm0p,,Ride Your Pony,/track/15lqmm0p/jon-bourne-ride-your-pony/index.html,False
2vj5q47f,26q4xb4,['pt4g47'],2vj5q47f,,Lemonade,/track/2vj5q47f/david-tort-bass-kleph-lemonade/index.html,False
1kpmqs4f,2fc9h44,"['v5893h', 'cyhh37']",1kpmqs4f,,Past All Regrets,/track/1kpmqs4f/dawn-akku-past-all-regrets/index.html,False
2ss7mzrp,5ur6v4n,['w0fx7h'],2ss7mzrp,,Good Girls,/track/2ss7mzrp/sonny-banks-good-girls/index.html,False
2kl90qx,89pkh0d,['30bgpz'],2nknrzp,3kptv7n,Sergeant Smash (Roksonix Remix),/track/2kl90qx/talay-riley-sergeant-smash-roksonix-remix/index.html,True
270z3wnx,4mc06zw,['jjxbcr'],270z3wnx,,Donkey,/track/270z3wnx/reid-stefan-donkey/index.html,False
rmk1925,n5rr8d,"['ukyqf7', '539257']",rmk1925,,Once In Time,/track/rmk1925/cold-blue-once-in-time/index.html,False
2vdlff5f,g4srnw,['7u85rh'],zsc9y3x,dtv8hd,Only For Tonight (Totally Enormous Extinct Dinosaurs Remix),/track/2vdlff5f/zinc-only-for-tonight-teed-remix/index.html,True
14ncm4p5,90p2ngw,['kbfjjz'],14ncm4p5,,Counting On Me,/track/14ncm4p5/aeroplane-purple-disco-machine-counting-on-me/index.html,False
2636db3p,4r8zc2w,['569zr7'],2636db3p,,Religion,/track/2636db3p/black-tiger-sex-machine-lektrique-religion/index.html,False
nnzy6uf,vzuvv4,['bsdwyr'],nnzy6uf,,Devil Dance,/track/nnzy6uf/ida-engberg-devil-dance/index.html,False
1pdzgp15,6pzhbcn,['vgh3pr'],1pc9q98x,80md174,Ocho Cinco (Loopers Remix),/track/1pdzgp15/dj-snake-yellow-claw-ocho-cinco-loopers-remix/index.html,True
1s0td72f,559f4gd,['shm77r'],1s0td72f,,Folding Your Universe,/track/1s0td72f/reorder-standerwick-skypatrol-folding-your-universe/index.html,False
257zvq05,7wbvl6n,['rvx07z'],257zvq05,,Harder,/track/257zvq05/tiesto-kshmr-harder/index.html,False
2dp4x9j5,7g0qntd,"['53c1nh', 'cyhh37']",2dp4x9j5,,Another Life (Official Balaton Sound Anthem),/track/2dp4x9j5/stadiumx-baha-markquis-another-life/index.html,False
1vxzyv9x,767tkzd,['p85nzr'],1f0r3nvx,7h1xw7d,Speed Of Light (Andy C Remix),/track/1vxzyv9x/pegboard-nerds-speed-of-light-andy-c-remix/index.html,True
1ut26h95,wlxdyn,"['30bgpz', 'btw0sr']",5llhsn5,1jml89n,Bulletproof (Vicetone Remix),/track/1ut26h95/doctor-p-bulletproof-vicetone-remix/index.html,True
1xrcmbmx,99dnnxn,"['hug6nr', 'gbr6dh']",1xrcmbmx,,Work It,/track/1xrcmbmx/twoloud-cranksters-work-it/index.html,False
u8qnsp,r96ps4,,u8qnsp,,Break Down The House,/track/u8qnsp/laidback-luke-break-down-the-house/index.html,False
1s4urnzp,5ffhzn,"['5dnwwh', 'cyhh37']",1s4urnzp,,Until We Meet Again,/track/1s4urnzp/gareth-emery-until-we-meet-again/index.html,False
2vdbrg2f,254kr8w,"['56hkgr', 'fs8sur']",2vdbrg2f,,Fatality,/track/2vdbrg2f/brian-cameron-fatality/index.html,False
1c3zpwmf,6bfyxn,"['hug6nr', 'gbr6dh']",1c3zpwmf,,Tribe,/track/1c3zpwmf/daddys-groove-tribe/index.html,False
vbw9ruf,224ndjw,"['b99r1h', 's6h4kz']",17fsvv1f,99xgnrw,Bounce Back (Afrojack & Oliver Rosa Remix),/track/vbw9ruf/big-sean-bounce-back-afrojack-oliver-rosa-remix/index.html,True
2gflh075,8wtg7z4,,2gflh075,,Fatality,/track/2gflh075/pep-rash-fatality/index.html,False
11s6nh8f,17ym554,"['wc3kv7', '7hj7vz']",11s6nh8f,,Rampage,/track/11s6nh8f/proglifter-rampage/index.html,False
1p7r4rfp,6bfyxn,['9l59pz'],1p7r4rfp,,Miners,/track/1p7r4rfp/daddys-groove-miners/index.html,False
26xd4lcx,n3rz74,['3mdzth'],26xd4lcx,,Bananas,/track/26xd4lcx/d.o.d.-bananas/index.html,False
20kw80nf,5dhyjmw,"['1b14rnz', '539257']",20kw80nf,,Vertex,/track/20kw80nf/ben-stone-skylex-vertex/index.html,False
1hqwrrff,8pj8sdn,,1hqwrrff,,Galaxy,/track/1hqwrrff/alvita-galaxy/index.html,False
10uj4225,5czm4ld,['nq630r'],10uj4225,,I Ain't Gonna,/track/10uj4225/skapes-ke-an-i-aint-gonna/index.html,False
yvkpcfp,s0l5pn,['9vqgbr'],234vndv5,,Believe In Me (Instrumental Mix),/track/yvkpcfp/arty-believe-in-me-instrumental-mix/index.html,True
3bd027x,1f3uw64,['btw0sr'],3bd027x,,Riot,/track/3bd027x/cookie-monsta-riot/index.html,False
cc4txyx,3xu4ubd,['b58m6r'],cc4txyx,,Sirens,/track/cc4txyx/wolfpack-sirens/index.html,False
254sp79f,8bq0zp4,['p85nzr'],254sp79f,,Ballin',/track/254sp79f/grabbitz-ballin/index.html,False
28txms5,38tl8nn,['l7jv8h'],556b2jx,ub1hvn,Destination (Above & Beyond Remix),/track/28txms5/dt8-project-destination-above-beyond-remix/index.html,True
2wf92y4f,wjs54d,"['ukyqf7', '539257']",2wf92y4f,,#ACID,/track/2wf92y4f/sneijder-acid/index.html,False
2m457ccf,4g8nxz4,['jfhsj7'],2m457ccf,,Smuggler,/track/2m457ccf/ibranovski-syzz-smuggler/index.html,False
1jqrc545,4m27kkn,,1jqrc545,,Thief,/track/1jqrc545/ookay-thief/index.html,False
qkk40nx,7stq3hn,,qkk40nx,,Take Ü There,/track/qkk40nx/jack-u-take-you-there/index.html,False
1xn6cukx,sgz5n4,['30q9lz'],1xn6cukx,,Savantas,/track/1xn6cukx/mason-savantas/index.html,False
1qbzyykx,7r0qj0n,['p85nzr'],1qbzyykx,,Neos,/track/1qbzyykx/glacier-neos/index.html,False
21clnljp,2uz8504,['mh9umr'],21clnljp,,Take Me There,/track/21clnljp/toby-green-jackandjordan-take-me-there/index.html,False
28xtcrrf,2r4j8mw,['wjrkmr'],28xtcrrf,,La Marlonetta,/track/28xtcrrf/nico-de-andrea-la-marlonetta/index.html,False
x36nz7x,8wtg7z4,['7qf28z'],u93296p,4tupt6d,Rumors (Curbi Remix),/track/x36nz7x/pep-rash-rumors-curbi-remix/index.html,True
2gkuf3c5,2cktq2n,"['udrsmr', 'cyhh37']",2gkuf3c5,,Mantra,/track/2gkuf3c5/exis-mantra/index.html,False
262vkx4x,6kg2tn,"['b10dtz', '9mc9j7']",g6ggsh5,8m5ussd,Bitch Better Have My Money (Diplo & Grandtheft Remix),/track/262vkx4x/rihanna-bbhmm-bitch-better-have-my-money-diplo-grandtheft-remix/index.html,True
2ll1g3f,7s2v6u4,['539257'],1rrrlw5,rwqkmw,The Spell (Solarstone Pure Mix),/track/2ll1g3f/solarstone-clare-stagg-the-spell-solarstone-pure-mix/index.html,True
bhfr31x,7j3rwd,['wd00zh'],1mg9wxk5,5n303fw,Lionheart (Jenaux Remix),/track/bhfr31x/marcus-schossow-lionheart-jenaux-remix/index.html,True
y2p7z6f,t5w9lw,['48dj2h'],y2p7z6f,,Give It,/track/y2p7z6f/swanky-tunes-give-it/index.html,False
1c587rvf,8rwt8xw,['7qf28z'],ntnxhkx,19kvgfd,Echo (Let Go) (Protohype & The Arcturians Remix),/track/1c587rvf/breathe-carolina-izii-echo-protohype-the-arcturians-remix/index.html,True
h0p5p6f,fhf4nw,['shm77r'],h0p5p6f,,Without You,/track/h0p5p6f/aly-fila-without-you/index.html,False
z1ll0u5,2pr82ud,['27v8q3r'],z1ll0u5,,Miss You,/track/z1ll0u5/young-franco-miss-you/index.html,False
1dylq8bf,5ulq39w,['j126uh'],1dylq8bf,,Keep Rockin',/track/1dylq8bf/pherato-keep-rockin/index.html,False
28z49dsf,fhl5t4,"['ldhq8r', '539257']",h46whlp,779jnd,Lazy World (Temple One Remix),/track/28z49dsf/bobina-lazy-world-temple-one-remix/index.html,True
f98mfvx,75xbr4d,['9lsptr'],f98mfvx,,Volume,/track/f98mfvx/disco-fries-volume/index.html,False
lsylhbp,7sq31v4,['gbr6dh'],lsylhbp,,Invincible,/track/lsylhbp/borgeous-invincible/index.html,False
16g9fh3p,mdymd4,['ukrd17'],16g9fh3p,,Follow You,/track/16g9fh3p/ferry-corsten-follow-you/index.html,False
tfywfpp,xl2g7d,"['l07y4h', 'rvx07z']",tfywfpp,,Summer Nights,/track/tfywfpp/tiesto-summer-nights/index.html,False
1hr5vbh5,4lm3n6d,['x843qz'],1hr5vbh5,,Elixer,/track/1hr5vbh5/rodg-elixer/index.html,False
2jbq6h3x,5264j3d,['gxtz9z'],28w1ybqp,5mfffvw,Rumble (Shadow Child Re-Edit),/track/2jbq6h3x/kda-rumble-shadow-child-remix/index.html,True
1hr2810p,80nnc8d,['cyhh37'],9hsdxcp,h03nr4,Miracles (Heatbeat Remix),/track/1hr2810p/andrew-rayel-miracles-heatbeat-remix/index.html,True
2qr56yz5,q3th6n,['9vqgbr'],2qr56yz5,,Pyramid Scheme,/track/2qr56yz5/mat-zo-pyramid-scheme/index.html,False
58hlkkf,603ql4,"['hug6nr', 'gbr6dh']",58hlkkf,,The Bass,/track/58hlkkf/sander-van-doorn-the-bass/index.html,False
c9z8jnx,5f7x8w,,c9z8jnx,,The One,/track/c9z8jnx/kyau-albert-the-one/index.html,False
1b6xuqlx,blbq3d,['qf0hnr'],1wumx5z5,2csr9w4,Cold Water (Riggi & Piros Remix),/track/1b6xuqlx/major-lazer-cold-water-riggi-piros-remix/index.html,True
29u4sndp,54c52x4,"['7hkhx7', 'gbr6dh']",29u4sndp,,Namek,/track/29u4sndp/kura-namek/index.html,False
2kbp0v65,8xufsbw,['30bgpz'],2kbp0v65,,Ms. Jackson,/track/2kbp0v65/party-pupils-ms.-jackson/index.html,False
1jpykbt5,6t1x0dw,['jfhsj7'],1jpykbt5,,Hey,/track/1jpykbt5/fais-hey/index.html,False
t7s9k7f,ub1hvn,['9vqgbr'],1zfny6s5,ub1hvn,Black Room Boy (Above & Beyond Club Mix),/track/t7s9k7f/above-beyond-black-room-boy-above-beyond-club-mix/index.html,True
x1yq0hp,6nkmrh4,['b58m6r'],x1yq0hp,,Heat,/track/x1yq0hp/autoerotique-felix-cartal-heat/index.html,False
1b6f1wvf,1n6wr0w,,1b6f1wvf,,Xenon,/track/1b6f1wvf/pink-panda-xenon/index.html,False
2k83cxx5,2cchv34,['7qf28z'],w4gwfb5,4zzbt5n,Till It Hurts (Moksi Remix),/track/2k83cxx5/yellow-claw-till-it-hurts-moksi-remix/index.html,True
29vqlm7f,77mngkw,['30bgpz'],29vqlm7f,,Colour,/track/29vqlm7f/marshmello-colour/index.html,False
1f185gq5,8xlfq04,['dd1kr7'],1f185gq5,,Time On Hold,/track/1f185gq5/marco-timo-time-on-hold/index.html,False
229g6tgf,6syj54,['w1jxc7'],229g6tgf,,Inverse,/track/229g6tgf/matt-lange-inverse/index.html,False
v4z37px,rlvljn,,v4z37px,,Dare You,/track/v4z37px/hardwell-dare-you/index.html,False
1hq84ctx,6gj5xd,['668r8h'],1hq84ctx,,Straight To Your Heart,/track/1hq84ctx/grum-straight-to-your-heart/index.html,False
2fh4v015,qxqlgn,['m6n3wr'],2fh4v015,,Where's My Money,/track/2fh4v015/gregori-klosman-wheres-my-money/index.html,False
2ghncc0p,7ml80n,"['j930m7', 'gbr6dh']",2ghncc0p,,Afropipe,/track/2ghncc0p/niels-van-gogh-afropipe/index.html,False
2dknfk3x,c4d7kn,['30bgpz'],1uvdmjnp,c4d7kn,Shine On The Dark Side of The Moon (Neptune Project Out There With Pluto Mix),/track/2dknfk3x/neptune-project-shine-on-the-dark-side-of-the-moon-neptune-project-out-there-with-pluto-mix/index.html,True
